46119,5000
46119,5708
42574,5708
42574,6417
39029,6417
39029,7126
36902,7126
36902,7835
35485,7835
35485,8544
33358,8544
33358,9253
31940,9253
31940,9962
29813,9962
29813,10671
29104,10671
29104,11380
27686,11380
27686,12089
26977,12089
26977,12798
25559,12798
25559,13507
24850,13507
24850,14216
23432,14216
23432,14925
22723,14925
22723,15634
22014,15634
22014,16343
20597,16343
20597,17052
19888,17052
19888,19179
18470,19179
18470,19888
17052,19888
17052,22014
15634,22014
15634,22723
14925,22723
14925,24850
13507,24850
13507,26977
12089,26977
12089,29104
10671,29104
10671,31231
9962,31231
9962,33358
8544,33358
8544,36902
7126,36902
7126,40447
6417,40447
6417,43992
5708,43992
5708,48955
5000,48955
5000,57462
5708,57462
5708,62425
6417,62425
6417,65970
7126,65970
7126,67388
7835,67388
7835,69514
8544,69514
8544,70932
9253,70932
9253,73059
9962,73059
9962,75186
11380,75186
11380,77313
12798,77313
12798,79440
14216,79440
14216,81567
15634,81567
15634,82276
16343,82276
16343,84402
18470,84402
18470,85111
19179,85111
19179,85820
19888,85820
19888,87947
22014,87947
22014,88656
22723,88656
22723,89365
23432,89365
23432,90074
24850,90074
24850,90783
25559,90783
25559,91492
26977,91492
26977,92201
27686,92201
27686,92910
29104,92910
29104,93619
29813,93619
29813,94328
31231,94328
31231,95037
33358,95037
33358,95746
34067,95746
34067,96455
36902,96455
36902,97164
37611,97164
37611,97873
40447,97873
40447,98582
43992,98582
43992,99291
48955,99291
48955,100000
57462,100000
57462,99291
62425,99291
62425,98582
65970,98582
65970,97873
68097,97873
68097,97164
69514,97164
69514,96455
71641,96455
71641,95746
73059,95746
73059,95037
75186,95037
75186,94328
75895,94328
75895,93619
77313,93619
77313,92910
78022,92910
78022,92201
79440,92201
79440,91492
80149,91492
80149,90783
80858,90783
80858,90074
82276,90074
82276,89365
82985,89365
82985,88656
83694,88656
83694,87947
85111,87947
85111,87238
85820,87238
85820,85111
87238,85111
87238,84402
88656,84402
88656,82276
90074,82276
90074,81567
90783,81567
90783,79440
92201,79440
92201,77313
93619,77313
93619,75186
94328,75186
94328,73059
95746,73059
95746,70932
96455,70932
96455,68805
97164,68805
97164,67388
97873,67388
97873,63843
98582,63843
98582,61716
99291,61716
99291,56753
100000,56753
100000,53208
14925,53208
14925,45410
99291,45410
99291,43283
98582,43283
98582,39738
97873,39738
97873,37611
97164,37611
97164,35485
96455,35485
96455,33358
95746,33358
95746,32649
95037,32649
95037,30522
94328,30522
94328,28395
92910,28395
92910,27686
92201,27686
92201,25559
90783,25559
90783,24850
90074,24850
90074,24141
89365,24141
89365,22014
87947,22014
87947,21305
87238,21305
87238,20597
86529,20597
86529,19888
85820,19888
85820,19179
85111,19179
85111,17052
83694,17052
83694,16343
82276,16343
82276,15634
81567,15634
81567,14925
80858,14925
80858,14216
80149,14216
80149,13507
78022,13507
78022,12798
77313,12798
77313,12089
75895,12089
75895,11380
75186,11380
75186,10671
73059,10671
73059,9962
72350,9962
72350,9253
70223,9253
70223,8544
68805,8544
68805,7835
66679,7835
66679,7126
64552,7126
64552,6417
61716,6417
61716,5708
56753,5708
56753,5000
